day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
175,64469.52734375,65535.13671875,SELL,False,0,13737.842391543161,13737.842391543161
176,65466.83984375,65748.15625,BUY,True,0,13737.842391543161,13737.842391543161
177,63557.87109375,65938.6796875,SELL,False,0,13337.25620347493,13337.25620347493
178,60161.24609375,65935.0234375,BUY,True,0,13337.25620347493,13337.25620347493
179,60368.01171875,65516.7109375,SELL,False,0,13383.0944514128,13383.0944514128
180,56942.13671875,64876.7578125,BUY,True,0,13383.0944514128,13383.0944514128
181,58119.578125,63851.20703125,SELL,False,0,13659.828175485703,13659.828175485703
182,59697.1953125,62779.2890625,BUY,True,0,13659.828175485703,13659.828175485703
183,58730.4765625,61887.203125,SELL,False,0,13438.624952287457,13438.624952287457
184,56289.2890625,61090.5,BUY,True,0,13438.624952287457,13438.624952287457
185,57569.07421875,60227.046875,SELL,False,0,13744.163590646385,13744.163590646385
186,56280.42578125,59491.8828125,BUY,True,0,13744.163590646385,13744.163590646385
187,57274.6796875,58796.53125,SELL,False,0,13986.968938126394,13986.968938126394
188,53569.765625,58263.78515625,BUY,True,0,13986.968938126394,13986.968938126394
189,54815.078125,57587.6484375,SELL,False,0,14312.11778006256,14312.11778006256
190,57248.45703125,56972.44921875,BUY,True,0,14312.11778006256,14312.11778006256
191,57806.56640625,56638.69921875,SELL,False,0,14451.645158150617,14451.645158150617
192,57005.42578125,56563.796875,BUY,True,0,14451.645158150619,14451.645158150617
193,57229.828125,56607.0,SELL,False,0,14508.534182310825,14508.534182310825
194,56477.81640625,56746.7734375,BUY,True,0,14508.534182310825,14508.534182310825
195,53598.24609375,56882.27734375,SELL,False,0,13768.804019785448,13768.804019785448
196,49200.703125,56778.0078125,BUY,True,0,13768.80401978545,13768.804019785448
197,49368.84765625,56176.60546875,SELL,False,0,13815.859223283212,13815.859223283212
198,50582.625,55307.8828125,BUY,True,0,13815.859223283214,13815.859223283212
199,50700.0859375,54423.7578125,SELL,False,0,13847.941855940868,13847.941855940868
200,50504.796875,53607.03125,BUY,True,0,13847.94185594087,13847.941855940868
201,47672.12109375,52884.78515625,SELL,False,0,13071.24871107844,13071.24871107844
202,47243.3046875,52061.12890625,BUY,True,0,13071.24871107844,13071.24871107844
203,49362.5078125,51203.11328125,HOLD,True,1,13657.588538476224,13071.24871107844
204,50098.3359375,50554.9609375,SELL,False,0,13861.177015067837,13861.177015067837
205,46737.48046875,50153.25390625,BUY,True,0,13861.177015067837,13861.177015067837
206,46612.6328125,49687.87109375,SELL,False,0,13824.150298055252,13824.150298055252
207,48896.72265625,49209.55859375,BUY,True,0,13824.150298055252,13824.150298055252
208,47665.42578125,48938.4609375,SELL,False,0,13476.036311332871,13476.036311332871
209,46202.14453125,48731.640625,BUY,True,0,13476.036311332871,13476.036311332871
210,46848.77734375,48472.328125,SELL,False,0,13664.64329808119,13664.64329808119
211,46707.015625,48250.09375,BUY,True,0,13664.64329808119,13664.64329808119
212,46880.27734375,48059.5703125,SELL,False,0,13715.332890474328,13715.332890474328
